kelime,aciklama
Yedekleme, Verilerin kaybını önlemek için kopyalanması işlemidir.
Şifreleme (Encryption), Verinin gizlenmesi amacıyla dönüştürülmesidir.
Anahtar (Key), Şifreleme ve şifre çözmede kullanılan özel değerdir.
Parola Karması (Hashing), Verileri tek yönlü olarak sabit boyutta dönüştürme işlemidir.
Dijital İmza, Verinin doğruluğunu ve kaynağını garanti eden şifreli imzadır.
Sertifika, Dijital kimliği doğrulayan belge dosyasıdır.
Kimlik Doğrulama, Kullanıcının kim olduğunun belirlenmesidir.
Yetkilendirme, Kullanıcının neye erişebileceğinin belirlenmesidir.
Oturum Yönetimi, Kullanıcı oturumlarını kontrol eden süreçtir.
Güvenlik Duvarı (Firewall), Ağ trafiğini denetleyerek güvenliği sağlar.
API (Uygulama Programlama Arayüzü), Uygulamalar arasında veri alışverişini sağlayan arayüzdür.
REST, HTTP üzerinden kaynaklara erişim sağlayan API mimarisidir.
SOAP, XML tabanlı daha katı bir web servis iletişim protokolüdür.
Endpoint (Uç Nokta), API'nin sunduğu bir hizmete erişim noktasıdır.
JSON, Hafif- okunabilir veri değişim formatıdır.
XML, Etiket tabanlı veri biçimidir- genellikle yapılandırılmış veri taşımak için kullanılır.
URL, İnternet üzerindeki bir kaynağın adresidir.
HTTP, Web üzerinden veri iletimi sağlayan protokoldür.
HTTPS, HTTP'nin şifreli ve güvenli versiyonudur.
WebSocket, Gerçek zamanlı iki yönlü iletişim sağlayan protokoldür.
Frontend, Kullanıcının doğrudan etkileşimde bulunduğu arayüz kısmıdır.
Backend, Arka planda çalışan ve veritabanı işlemlerini yöneten yazılım kısmıdır.
Full Stack, Hem frontend hem de backend geliştirmesi yapabilen geliştiricidir.
HTML, Web sayfalarının iskeletini oluşturan işaretleme dilidir.
CSS, HTML içeriğinin stil ve görünümünü belirler.
JavaScript, Web sayfalarına etkileşim kazandırmak için kullanılan programlama dilidir.
DOM, Web sayfalarının programatik olarak erişilebilen yapısıdır.
SPA (Tek Sayfa Uygulaması), Sayfa yenilemeden çalışan web uygulama yapısıdır.
SSR (Sunucu Taraflı Render), Sayfanın HTML içeriğinin sunucuda oluşturulmasıdır.
CSR (İstemci Taraflı Render), Sayfanın içeriğinin tarayıcıda oluşturulmasıdır.
Framework, Yazılım geliştirmeyi kolaylaştıran hazır yapılar bütünüdür.
Kütüphane (Library), Belirli işlevleri kolaylaştıran hazır fonksiyonlardır.
Node.js, JavaScript’in sunucu tarafında çalışmasını sağlayan platformdur.
React, Kullanıcı arayüzleri oluşturmak için kullanılan bir JavaScript kütüphanesidir.
Angular, Web uygulamaları geliştirmek için kullanılan TypeScript tabanlı framework’tür.
Vue.js, Web arayüzü geliştirmek için hafif bir JavaScript framework’üdür.
Django, Python diliyle geliştirilen web framework’üdür.
Flask, Basit ve hafif bir Python web framework’üdür.
Spring, Java için kapsamlı bir web uygulama geliştirme çatısıdır.
Laravel, PHP diliyle yazılmış modern web uygulama çatısıdır.
ORM (Nesne İlişkisel Haritalama), Nesneleri veritabanı kayıtlarıyla eşleştiren teknolojidir.
SQL, Veritabanı ile iletişim kurmak için kullanılan sorgu dilidir.
NoSQL, Geleneksel olmayan veritabanı yapılarının genel adıdır.
Veritabanı, Verilerin düzenli şekilde depolandığı sistemdir.
İlişkisel Veritabanı, Tablolar arasında ilişkiler kurarak veri saklayan veritabanıdır.
Sorgu, Veritabanından veri çekmek veya değiştirmek için yazılan komuttur.
Normalizasyon, Veritabanında tekrarları önlemek için verinin düzenlenmesidir.
Replikasyon, Veritabanı içeriğinin başka bir sunucuya aynalanmasıdır.
Yedekleme (Backup), Veritabanı verilerinin kopyalanması işlemidir.
SQL Injection, Kötü amaçlı SQL sorgularıyla sistemin istismar edilmesidir.
Versiyon Kontrolü, Kaynak kodun geçmiş değişikliklerini takip eden sistemdir.
Git, Dağıtık bir versiyon kontrol sistemidir.
GitHub, Git projeleri için uzak depo ve işbirliği platformudur.
Branch (Dal), Ana koddan ayrılıp farklı geliştirmelerin yapıldığı koddur.
Merge, Bir dalın kodlarını başka bir dala birleştirme işlemidir.
Pull Request, Koddaki değişiklikleri ana projeye dahil etme isteğidir.
Commit, Yapılan kod değişikliğinin sisteme kaydedilmesidir.
Conflict, Birleştirme sırasında aynı satırlarda çakışan değişikliklerin olmasıdır.
CI (Sürekli Entegrasyon), Kodların sürekli entegre edilmesini sağlayan süreçtir.
CD (Sürekli Dağıtım), Kodların otomatik olarak üretim ortamına gönderilmesidir.
Pipeline (Boru Hattı), Yazılım geliştirme sürecindeki otomatik adımlar zinciridir.
Container (Kapsayıcı), Uygulamaların bağımlılıklarıyla birlikte izole çalışmasını sağlayan yapıdır.
Docker, Uygulamaları kapsayıcılar içinde çalıştırmaya yarayan platformdur.
Kubernetes, Birden çok kapsayıcıyı yöneten orkestrasyon sistemidir.
Virtual Machine (Sanal Makine), Fiziksel makine üzerinde çalışan yazılımsal bilgisayardır.
Hypervisor, Sanal makineleri oluşturan ve yöneten yazılımdır.
Load Balancer (Yük Dengeleyici), Gelen ağ trafiğini birden fazla sunucuya dağıtan sistemdir.
Cache (Önbellek), Sık kullanılan verilerin hızlı erişim için saklandığı geçici alandır.
CDN (İçerik Dağıtım Ağı), Statik içerikleri kullanıcıya yakın sunucularla servis eden ağdır.
Proxy, İstemci ile sunucu arasındaki aracı sunucudur.
Reverse Proxy, Sunucuya gelen istekleri yönlendiren ters vekil sunucudur.
Middleware, İstemci ve sunucu arasında çalışan ara katman yazılımlardır.
Authentication (Kimlik Doğrulama), Bir kullanıcının sisteme girişinin doğrulanmasıdır.
Authorization (Yetkilendirme), Kullanıcının sistem içindeki erişim haklarının kontrolüdür.
Token, Kimlik doğrulama bilgilerinin kodlanmış halidir.
OAuth, Üçüncü taraf erişimi için kullanılan yetkilendirme protokolüdür.
JWT (JSON Web Token), Kimlik doğrulama için kullanılan sıkıştırılmış veri biçimidir.
SSL/TLS, İnternette veri iletimini şifreleyen güvenlik protokolleridir.
Firewall (Güvenlik Duvarı), Yetkisiz erişimleri engelleyen ağ güvenlik sistemidir.
DDoS, Hizmeti engellemek için yapılan çoklu saldırı türüdür.
Debugging, Yazılımdaki hataları bulma ve düzeltme sürecidir.
Breakpoint, Hata ayıklama sürecinde kodun durdurulduğu noktadır.
Logging, Yazılımda olayların kaydedilmesi işlemidir.
Exception (İstisna), Programın çalışma sırasında karşılaştığı beklenmeyen durumdur.
Try-Catch, Hataları yakalayıp yönetmek için kullanılan kod yapısıdır.
Stack Trace, Hata oluştuğunda çağrı yığınını gösteren çıktı dizisidir.
Build (Derleme), Kaynak koddan çalıştırılabilir dosya üretme işlemidir.
Compile, Kaynak kodun makine diline çevrilmesidir.
Runtime, Uygulamanın çalıştığı zamandır.
Interpreter (Yorumlayıcı), Kodları satır satır çalıştıran programdır.
Garbage Collection, Kullanılmayan belleğin otomatik olarak temizlenmesidir.
Memory Leak (Bellek Sızıntısı), Kullanılan belleğin geri bırakılmaması durumudur.
Thread (İş Parçacığı), Programın aynı anda birden fazla işi yapmasını sağlar.
Concurrency (Eş Zamanlılık), Aynı anda birden çok iş akışının olmasıdır.
Parallelism (Paralellik), İşlerin aynı anda farklı işlemcilerde yürütülmesidir.
Asynchronous (Asenkron), Kodların sırayla değil geri çağrılarla çalışmasıdır.
Callback, Bir işlemin tamamlanmasından sonra çağrılan fonksiyondur.
Promise, Gelecekteki bir işlemin sonucunu temsil eden yapıdır.
Event Loop, JavaScript'in asenkron kodları işleme mekanizmasıdır.
Race Condition, İşlemlerin sırasız çalışması sonucu oluşan hata durumudur.
Deadlock (Kilitlenme), İki işlemin birbirini bekleyerek ilerleyememesi durumudur.
Semaphore, İşlem erişimlerini kontrol eden eşzamanlılık aracıdır.
Queue (Kuyruk), İlk giren ilk çıkar mantığıyla çalışan veri yapısıdır.
Stack (Yığın), Son giren ilk çıkar prensibiyle çalışan veri yapısıdır.
Tree (Ağaç), Hiyerarşik veri yapılarından biridir.
Graph (Graf), Düğümler ve kenarlarla ilişkileri gösteren veri yapısıdır.
Linked List, Her elemanın bir sonrakine bağlandığı veri yapısıdır.
Hash Table, Anahtar-değer eşleşmeleri ile veri saklayan yapıdır.
Big O Notation, Algoritmaların performansını ifade eden matematiksel gösterimdir.
Recursion (Özyineleme), Bir fonksiyonun kendini çağırmasıdır.
Cloud Storage (Bulut Depolama), Verilerin internet üzerinden uzak sunucularda saklanmasıdır.
Load Balancing (Yük Dengeleme), Trafiği birden fazla sunucuya dağıtarak sistemin daha verimli çalışmasını sağlar.
CDN (Content Delivery Network), İçeriğin daha hızlı yüklenmesi için veri merkezleri arasında dağıtılmasını sağlayan ağdır.
Serverless Computing (Sunucusuz Bilişim), Kullanıcıların sunucu yönetimi yapmadan uygulama geliştirmesini sağlayan bulut hizmetidir.
Edge Computing (Kenar Bilişim), Verilerin kaynağa yakın yerlerde işlenmesidir- böylece gecikmeler azaltılır.
API Gateway, Birden fazla servisi yöneten ve birleştiren arayüzdür.
Data Lake (Veri Gölü), Yapısal ve yapısal olmayan verilerin depolandığı büyük veri sistemidir.
Data Warehouse (Veri Ambarı), Büyük hacimli verilerin depolandığı merkezi veri havuzudur.
Data Lakehouse (Veri Gölü Evi), Veri gölü ve veri ambarı özelliklerini birleştiren yeni nesil veri yönetim sistemidir.
Blockchain, Merkezi olmayan- şifreli ve dağıtık veri saklama teknolojisidir.
Cryptocurrency (Kripto Para), Dijital olarak şifrelenmiş para birimidir- merkeziyetsizdir.
Smart Contract (Akıllı Sözleşme), Kendi kendine yürütülen- blok zinciri üzerinde çalışan programlardır.
Cryptocurrency Mining (Kripto Para Madenciliği), Yeni kripto paralar üretmek için yapılan hesaplama işlemleri.
Ethereum, Akıllı sözleşmeleri çalıştırmak için kullanılan bir blok zinciri platformudur.
Bitcoin, İlk dijital ve merkeziyetsiz para birimidir.
DApp (Decentralized Application), Merkezi olmayan ağlar üzerinde çalışan uygulamalardır.
Proof of Work (İş Kanıtı), Blok zincirindeki işlemleri onaylamak için yapılan hesaplama işidir.
Proof of Stake (Hisse Kanıtı), Kripto para madenciliği için hisse sahipliği temelli doğrulama sistemidir.
Tokenomics, Kripto para birimlerinin ekonomik modellerini inceleyen disiplindir.
Staking, Kripto paralarda belirli bir süre boyunca varlıkların tutulması işlemiyle ödül kazanma.
Virtual Reality (Sanal Gerçeklik), Kullanıcıyı gerçek dünya dışındaki bir ortama sokan teknolojidir.
Augmented Reality (Arttırılmış Gerçeklik), Gerçek dünyaya sanal öğelerin eklenmesi teknolojisidir.
Mixed Reality (Karışık Gerçeklik), Sanal gerçeklik ve artırılmış gerçeklik birleşimidir.
VR Headset (Sanal Gerçeklik Başlığı), Sanal gerçeklik deneyimini sağlamak için takılan başlık.
AR Glasses (Artırılmış Gerçeklik Gözlükleri), Artırılmış gerçeklik teknolojisini kullanarak sanal öğeleri gösteren gözlükler.
3D Modeling (3D Modelleme), Üç boyutlu nesnelerin dijital ortamda oluşturulması işlemidir.
3D Rendering (3D Görselleştirme), 3D modellerin görsel hale getirilmesi işlemidir.
Motion Capture (Hareket Takibi), Gerçek dünyadaki hareketlerin dijital ortama aktarılması teknolojisidir.
Deepfake, Yapay zeka kullanarak gerçek görüntüleri taklit eden medya içerikleridir.
Digital Twin (Dijital İkiz), Fiziksel bir varlığın dijital kopyasının oluşturulmasıdır.
WebRTC (Web Real-Time Communication), Tarayıcılar arasında gerçek zamanlı ses- video ve veri iletişimi sağlayan protokoldür.
WebSocket, Web üzerinde sürekli ve çift yönlü iletişim sağlayan protokoldür.
NoSQL Database (NoSQL Veritabanı), İlişkisel olmayan- esnek veri yapıları kullanan veritabanıdır.
MongoDB, NoSQL veritabanı sistemlerinden biridir- genellikle JSON formatında veri saklar.
Redis, Bellek içi veri yapıları ile yüksek performanslı veri yönetimi sağlayan NoSQL veritabanıdır.
Elasticsearch, Veri arama ve analiz için kullanılan NoSQL tabanlı- dağıtık bir arama motorudur.
Hadoop, Büyük veri işleme için kullanılan- açık kaynaklı dağıtık dosya sistemidir.
Apache Spark, Hızlı veri işleme ve analiz yapabilen açık kaynaklı bir platformdur.
Kubernetes, Konteyner yönetimi ve orkestrasyonu sağlayan açık kaynaklı bir platformdur.
Docker Swarm, Docker konteynerlerinin yönetimi ve orkestrasyonu için kullanılan platformdur.
Microservices Architecture (Mikro Hizmet Mimarisi), Yazılımın küçük- bağımsız hizmetlere bölünerek yönetilmesi modelidir.
Serverless Architecture (Sunucusuz Mimari), Sunucu altyapısı ile ilgilenmeden uygulama geliştirmeyi mümkün kılar.
REST API (Representational State Transfer), İnternette veri transferi sağlayan bir API mimarisidir.
SOAP API (Simple Object Access Protocol), XML tabanlı ve daha sıkı kurallara sahip bir web servis protokolüdür.
GraphQL API, Sorgularla veriyi esnek bir şekilde almak için kullanılan API türüdür.
JSON-RPC, JSON formatı üzerinden veri iletmek için kullanılan uzaktan prosedür çağrısı protokolüdür.
XML-RPC, XML formatı üzerinden uzak sunucularla iletişim kurmak için kullanılan protokoldür.
API Rate Limiting, API'lere yapılacak isteklerin sınırlanmasıdır.
API Key, API kullanımını güvenli hale getiren- kullanıcıyı tanımlayan anahtardır.
OAuth, Kullanıcıların kimlik doğrulama yaparken üçüncü taraf uygulamalarına yetki vermesini sağlayan protokoldür.
Dependency Management (Bağımlılık Yönetimi), Yazılımda kullanılan dış kütüphanelerin ve araçların yönetilmesidir.
Package Manager (Paket Yöneticisi), Yazılım bileşenlerinin kurulumu ve yönetimini sağlayan araçtır.
Virtual Environment (Sanal Ortam), Python gibi dillerde- bağımlılıkların farklı projelerde izole edilmesini sağlayan ortamdır.
NPM (Node Package Manager), Node.js için paketlerin yönetilmesini sağlayan araçtır.
Composer, PHP için paket yönetimi sağlayan araçtır.
Maven, Java projelerinde bağımlılık yönetimi ve yapı oluşturma aracıdır.
Gradle, Yazılım projelerinde yapılandırma- bağımlılık yönetimi ve derleme işlemleri için kullanılan araçtır.
GitFlow, Git üzerinde yazılım geliştirme sürecini organize etmek için kullanılan dal yönetim modelidir.
Fork, Bir proje üzerinde bağımsız değişiklikler yapabilmek için o projeyi kopyalamaktır.
Pull Request (PR), Bir yazılım değişikliğinin bir ana depoya dahil edilmesi için yapılan istektir.
Merge, Farklı geliştirme dallarındaki değişiklikleri birleştirme işlemidir.
Conflict Resolution (Çatışma Çözümü), Kod üzerinde yapılan iki farklı değişikliğin çakışması durumunda çözüm sürecidir.
Branching, Yazılım geliştirmede farklı özelliklerin paralel olarak geliştirilmesini sağlayan yöntemdir.
Trunk (Ana Dal), Bir yazılımın ana geliştirme dalıdır.
Tag, Yazılımda belirli bir versiyona işaret eden işaretçidir.
Version Control System (Sürüm Kontrol Sistemi), Kod değişikliklerinin izlenmesi ve yönetilmesini sağlayan sistemdir.
GitHub Actions, GitHub üzerinde otomatik iş akışları oluşturmak için kullanılan araçtır.
Jenkins Pipeline, Yazılım geliştirme süreçlerinde otomatikleştirilmiş iş akışlarını tanımlar.
Bitbucket Pipelines, Bitbucket üzerinde sürekli entegrasyon ve teslimat için kullanılan platformdur.
CircleCI, Yazılım geliştirme süreçlerinde sürekli entegrasyon ve teslimat sağlamak için kullanılan bir araçtır.
Travis CI, GitHub projelerinde sürekli entegrasyon için kullanılan platformdur.
Code Review (Kod İncelemesi), Yazılımcıların yazdıkları kodları birbirlerine incelettikleri süreçtir.
Code Refactoring (Kod Yeniden Yapılandırma), Kodun dış işlevselliğini değiştirmeden daha verimli hale getirilmesidir.
Code Linter (Kod Linter), Kodun belirli kurallara göre hatalarını tespit eden araçtır.
Continuous Testing (Sürekli Test), Yazılım geliştirme sürecinde testlerin otomatik ve sürekli yapılmasıdır.
Test Automation (Test Otomasyonu), Yazılımın test edilmesinin otomatik hale getirilmesidir.
Unit Test (Birim Testi), Yazılımın en küçük birimlerinin test edilmesidir.
Integration Test (Entegrasyon Testi), Farklı yazılım bileşenlerinin birlikte çalışıp çalışmadığının test edilmesidir.
Acceptance Test (Kabul Testi), Yazılımın belirlenen gereksinimlere uygun olup olmadığının test edilmesidir.
Regression Test (Geriye Dönük Test), Yeni eklemelerin veya değişikliklerin eski işlevselliği bozup bozmadığını test etmektir.
Load Testing (Yük Testi), Uygulamanın belirli bir yük altında nasıl davrandığını test etmektir.
Stress Testing (Stres Testi), Uygulamanın aşırı yük altında dayanıklılığını test etmektir.
Performance Testing (Performans Testi), Uygulamanın hız- verimlilik ve tepki süresi gibi performans parametrelerini test etmektir.
Security Testing (Güvenlik Testi), Yazılımın güvenlik açıklarını belirlemeye yönelik yapılan testlerdir.
Penetration Testing (Sızma Testi), Sistem güvenliğini test etmek için yapılan saldırı simülasyonudur.
Usability Testing (Kullanılabilirlik Testi), Yazılımın kullanıcı dostu olup olmadığının test edilmesidir.
Alpha Testing (Alfa Testi), Yazılım geliştirme sürecinde iç testlerdir- kullanıcılar tarafından yapılır.
Beta Testing (Beta Testi), Yazılımın dış kullanıcılar tarafından test edilmesidir.
Canary Testing, Yeni sürümün sınırlı sayıda kullanıcıyla test edilmesidir.
User Story (Kullanıcı Hikayesi), Yazılımın kullanıcılarının ihtiyaçlarına dayalı işlevsel gereksinimlerin tanımlanmasıdır.
Task Board (Görev Panosu), Yazılım geliştirme sürecindeki görevlerin görsel olarak yönetildiği platformdur.
Kanban, Sürekli iş akışı sağlayan görsel görev yönetim aracıdır.
Scrum Board, Scrum metodolojisiyle çalışan takımların görevlerini takip ettiği araçtır.
Burn Down Chart (Yanma Grafiği), Projelerin zaman içindeki ilerlemesini gösteren grafiksel temsilidir.
Agile Manifesto (Çevik Manifesto), Çevik yazılım geliştirme sürecini tanımlayan ilkeler bütünüdür.
Scrum Master, Scrum sürecinde takımın doğru şekilde çalışmasını sağlayan kişidir.
Product Owner (Ürün Sahibi), Yazılım ürününün gereksinimlerini belirleyen ve önceliklendiren kişidir.
User Acceptance Testing (Kullanıcı Kabul Testi), Kullanıcıların yazılımın gereksinimlere uygunluğunu test etmeleridir.
Sprint, Scrum metodolojisinde belirli bir süre içinde yapılacak işlerin planlandığı dönemdir.
Iteration (Dönem), Çevik yazılım geliştirmede sürekli olarak yapılan geliştirme döngüsüdür.
Algorithm (Algoritma), Belirli bir problemi çözmek için izlenen adımlar dizisidir.
Framework (Çerçeve), Yazılım geliştirmeyi kolaylaştıran- belirli bir amaca yönelik araçlar ve kütüphaneler bütünüdür.
Debugging (Hata Ayıklama), Yazılımdaki hataların tespit edilip düzeltilmesi işlemidir.
Compiler (Derleyici), Kaynak kodu makine diline çeviren yazılım aracıdır.
Interpreter (Yorumlayıcı), Kaynak kodu satır satır işleyip çalıştıran yazılım aracıdır.
IDE (Integrated Development Environment - Entegre Geliştirme Ortamı), Yazılım geliştirme sürecini kolaylaştıran- metin düzenleyici- derleyici ve hata ayıklama araçları sunan ortamdır.
Git (Version Control), Kaynak kodunun sürümlerini yönetmeye yarayan popüler bir sistemdir.
Repository (Depo), Git gibi sürüm kontrol sistemlerinde- yazılım projelerinin saklandığı ve yönetildiği depodur.
HTTP (Hypertext Transfer Protocol - Hipermetin Transfer Protokolü), İnternet üzerindeki verilerin iletimini sağlayan protokoldür.
HTTPS (Hypertext Transfer Protocol Secure - Güvenli Hipermetin Transfer Protokolü), Web üzerindeki veri iletimini şifreleyen güvenli protokoldür.
DNS (Domain Name System - Alan Adı Sistemi), İnternet üzerindeki alan adlarını IP adreslerine dönüştüren sistemdir.
SSL/TLS (Secure Sockets Layer / Transport Layer Security - Güvenli Soket Katmanı / Taşıma Katmanı Güvenliği), İnternette veri iletimini şifreleyen güvenlik protokolleridir.
URL (Uniform Resource Locator - Birleşik Kaynak Konumlandırıcı), İnternetteki bir kaynağın adresini tanımlar.
Web Browser (Web Tarayıcısı), İnternetteki sayfaları görüntülemek için kullanılan yazılımdır.
Front-End (Ön Yüz), Web uygulamalarının kullanıcıyla etkileşimde bulunduğu arayüz kısmıdır.
Back-End (Arka Yüz), Web uygulamalarının veritabanı ve sunucu tarafını kapsayan kısmıdır.
Full Stack Developer (Tam Yığın Geliştirici), Hem ön yüz hem de arka yüz geliştirmelerini yapabilen yazılım geliştiricisidir.
HTTP Request (HTTP İsteği), Web sunucusundan veri almak için yapılan istektir.
Cookie (Çerez), Web tarayıcısında kullanıcının bilgilerini saklayan küçük veri parçalarıdır.
Session (Oturum), Web uygulamalarında kullanıcının geçici olarak oturum açtığı süreyi tanımlar.
Cache (Önbellek), Sık erişilen verilerin geçici olarak saklandığı hızlı erişim alanıdır.
CDN (Content Delivery Network - İçerik Dağıtım Ağı), İçeriğin farklı sunucularda dağıtılmasını sağlayarak yükleme sürelerini kısaltan ağdır.
SQL (Structured Query Language - Yapısal Sorgulama Dili), Veritabanlarından veri almak- eklemek ve yönetmek için kullanılan sorgulama dilidir.
NoSQL, Yapısal olmayan verilerin depolanmasında kullanılan- genellikle esnek veri modeline sahip veritabanlarıdır.
RDBMS (Relational Database Management System - İlişkisel Veritabanı Yönetim Sistemi), Veritabanlarının yönetimi için kullanılan ilişkisel model bazlı sistemdir.
Schema (Şema), Veritabanındaki tabloların yapısını ve ilişkilerini tanımlar.
Indexing (İndeksleme), Veritabanındaki verilerin hızlı bir şekilde erişilebilmesi için yapılan yapılandırmadır.
Normalization (Normalizasyon), Veritabanı yapısını düzenleyerek veritabanındaki veri tekrarını azaltma işlemidir.
Joins (Birleştirme), Birden fazla veritabanı tablosunun birleştirilmesidir.
Foreign Key (Yabancı Anahtar), İlişkisel veritabanlarında iki tabloyu birbirine bağlayan alandır.
Trigger (Tetikleyici), Veritabanı işlemleri sırasında otomatik olarak çalışan SQL komutlarıdır.
Transaction (İşlem), Veritabanında yapılan ve bütünlüğünü koruyan işlem birimidir.
Backup (Yedekleme), Verilerin kaybolmaması için düzenli olarak kopyalanması işlemidir.
Recovery (Kurtarma), Veritabanı veya sistem arızası sonrası verilerin eski haline getirilmesidir.
Cloud Computing (Bulut Bilişim), Verilerin internet üzerindeki uzak sunucularda işlenmesi ve saklanmasıdır.
SaaS (Software as a Service - Hizmet Olarak Yazılım), Yazılımın internet üzerinden bir hizmet olarak sunulmasıdır.
IaaS (Infrastructure as a Service - Hizmet Olarak Altyapı), Altyapı hizmetlerinin internet üzerinden sunulmasıdır.
PaaS (Platform as a Service - Hizmet Olarak Platform), Geliştiricilere uygulama geliştirme ve dağıtım için gereken platform hizmetlerinin sunulmasıdır.
Containerization (Konteynerleştirme), Uygulamaların bağımsız olarak çalışabilmesi için sanallaştırılmasını sağlayan bir yöntemdir.
Docker, Yazılım konteynerlerini oluşturmak ve yönetmek için kullanılan açık kaynaklı bir platformdur.-
Kubernetes, Konteynerlerin yönetimi ve orkestrasyonu için kullanılan açık kaynaklı bir platformdur.
Microservices (Mikro Hizmetler), Büyük uygulamaların küçük- bağımsız ve modüler parçalara ayrılması yaklaşımıdır.
REST (Representational State Transfer - Temsili Durum Transferi), Web servislerinin basit ve ölçeklenebilir bir şekilde iletişim kurmasını sağlayan bir mimaridir.
SOAP (Simple Object Access Protocol - Basit Nesne Erişim Protokolü), XML tabanlı bir web servis protokolüdür.
API (Application Programming Interface - Uygulama Programlama Arayüzü), Uygulamalar arasında veri ve işlev paylaşımını sağlayan arayüzdür.
OAuth, Kullanıcıların verilerine üçüncü parti uygulamalar üzerinden güvenli erişimi sağlayan protokoldür.
JSON (JavaScript Object Notation), Veri alışverişi için kullanılan-hafif ve kolay okunabilir veri formatıdır.
XML (Extensible Markup Language , Genişletilebilir İşaretleme Dili)- Veri alışverişi için kullanılan- etiketli bir veri formatıdır.
JWT (JSON Web Token), Kimlik doğrulama ve veri güvenliği için kullanılan bir token türüdür.
Rate Limiting (İstek Limitleme), Bir API veya web sunucusuna yapılabilecek isteklerin sayısını sınırlamadır.
def,	Python'da fonksiyon tanımlamak için kullanılır.
lambda,	Python'da anonim fonksiyon oluşturmak için kullanılır.
try-except,	Python'da hata yakalamak için kullanılır.
public,	Java’da bir öğeye herkesin erişebileceğini belirtir.
class,	Java’da sınıf tanımı yapmak için kullanılır.
private,	Java’da bir öğeye sadece sınıf içinden erişilebileceğini belirtir.
try-catch-finally,	Java’da hata yönetimi ve temizlik işlemleri için kullanılır.
String,	Java'da karakter dizilerini temsil eden veri türü.
API,Uygulamalar arasında veri alışverişini sağlayan arabirimdir.
Flask,Python ile yazılmış mikro web framework’tür.
render_template,Flask'ta HTML şablonlarını sunmak için kullanılır.
request,Kullanıcının yaptığı HTTP isteğini temsil eder.
pandas,Veri analizi ve işleme için kullanılan Python kütüphanesidir.
tensorflow,Yapay zeka ve makine öğrenimi modelleri oluşturmak için kullanılan açık kaynak kütüphanedir.
pickle,Python nesnelerini serileştirmek ve kaydetmek için kullanılır.
sequence,Sıralı veri yapısıdır; genelde dizilerle ilişkilidir.
pad_sequences,Farklı uzunluktaki dizileri aynı uzunlukta hale getiren fonksiyondur.
string,Pythonda metin verisiyle çalışmayı sağlayan yerleşik modüldür.
GoogleTranslator,deep_translator modülünden gelen çeviri aracıdır.
text_model.h5,Eğitilmiş derin öğrenme modelinin HDF5 formatındaki dosyasıdır.
tokenizer,Kelimeleri sayılara dönüştüren makine öğrenimi aracıdır.
lower,Metni küçük harflere dönüştürür.
split,Metni boşluklardan bölerek liste haline getirir.
strip,Başındaki ve sonundaki boşluk veya özel karakterleri temizler.
punctuation,Noktalama işaretlerini içeren karakter kümesidir.
values,Pandas veri çerçevesinden sadece verileri döndürür.
app.route,Flask’ta URL yönlendirmesi için kullanılır.
methods,HTTP istek türlerini belirtir (örneğin GET-POST).
GET,Sunucudan veri isteme metodudur.
POST,Sunucuya veri gönderme metodudur.
form,Kullanıcı tarafından gönderilen HTML form verilerini alır.
ceviri_istegi,Kullanıcı çeviri isteğinde bulunmuş mu kontrol eder.
bulunanlar,Eşleşen kelimeleri ve açıklamaları tutan listedir.
dogruluk_toplam,Doğru tahminlerin güven puanlarının toplamıdır.
dogru_sayisi,Yazılım terimi olarak doğru tahmin edilen kelime sayısıdır.
kelime_temiz,Kelimenin özel karakterlerden arındırılmış halidir.
negatif_df,Yazılım terimi olmayan kelimeleri içeren veri çerçevesidir.
in,Pythonda bir öğenin listede olup olmadığını kontrol eder.
continue,Döngüdeki geçerli yinelemeyi atlar.
texts_to_sequences,Kelimeleri sayı dizilerine çevirir.
if not,Koşul sağlanmadığında işlemi durdurur.
model.predict,Yapay zeka modeliyle tahmin yapılır.
verbose,Model çalışırken detaylı çıktı verip vermeyeceğini belirler.
[0][0],Tahmin sonucundaki ilk skoru alır.
input_shape,Modelin girdi boyutunu belirtir.
tahmin,Tahmin edilen olasılık değeridir.
> 0.5,Yazılım terimi olup olmadığını belirlemek için eşik değeridir.
aciklama,Kelimelerin anlamını açıklayan metindir.
try,Hata oluşabilecek kod bloklarını sarmalar.
except,Hata oluştuğunda yapılacak işlemleri tanımlar.
Exception,Genel hata sınıfıdır.
bulunanlar.append,Sonuç listesinin sonuna yeni öğe ekler.
render_template("index.html"),HTML şablonunu geri döndürür.
debug=False,Geliştirici modunu kapatır.
__name__ == "__main__",Dosya doğrudan çalıştırıldığında ana uygulamayı başlatır.
csv,Verileri virgülle ayrılmış değerler halinde tutan dosya formatıdır.
read_csv,CSV dosyasını okuyup veri çerçevesine dönüştürür.
str.lower(),Metni küçük harflere dönüştürür.
str.strip(),Metnin başındaki ve sonundaki boşlukları temizler.
@staticmethod,Sınıf örneğine ihtiyaç duymayan metod tanımıdır.
HTML,Web sayfalarının yapılandırıldığı işaretleme dilidir.
index.html,Flask’ta ana sayfayı temsil eden HTML dosyasıdır.
deeplearning,Katmanlı yapılarla öğrenme sağlayan yapay zeka yaklaşımıdır.
natural language processing,İnsan dilini bilgisayarların anlamasını sağlayan teknoloji alanıdır.
